T,H,P
25.68,54.92,983.16
25.72,54.92,983.14
25.68,54.63,983.16
25.66,54.61,983.13
25.64,54.64,983.14
25.61,54.53,983.16
25.63,54.59,983.16
25.6,54.61,983.14
25.58,54.67,983.15
25.59,54.59,983.14
25.59,54.57,983.14
25.59,54.94,983.13
25.57,55.27,983.11
25.58,54.94,983.14
25.58,54.71,983.11
25.62,54.98,983.11
25.65,54.96,983.12
25.66,54.83,983.14
25.65,54.87,983.14
25.64,55.05,983.13
25.66,55.25,983.17
25.68,55.15,983.14
25.68,54.98,983.16
25.66,55.03,983.15
25.67,54.95,983.13
25.71,54.78,983.16
25.69,54.57,983.15
25.65,54.51,983.15
25.59,54.74,983.13
25.62,54.87,983.16
25.63,55.02,983.12
25.66,54.8,983.15
25.67,54.63,983.14
25.68,54.63,983.17
25.69,54.74,983.16
25.67,54.5,983.16
25.69,54.99,983.13
25.7,55.01,983.14
25.72,54.88,983.16
25.68,54.75,983.15
25.7,54.53,983.12
25.73,54.5,983.16
25.72,55.05,983.16
25.73,54.72,983.16
25.74,54.71,983.15
25.76,54.77,983.12
25.79,54.66,983.13
25.77,54.27,983.13
25.77,54.1,983.12
25.75,54.24,983.13
25.74,54.24,983.14
25.69,54.11,983.16
25.71,54.74,983.16
25.67,54.5,983.14
25.63,54.45,983.14
25.64,54.52,983.17
25.66,54.42,983.13
25.7,54.33,983.12
25.71,54.51,983.12
25.7,54.9,983.14
25.71,54.61,983.14
25.72,54.66,983.15
25.71,54.36,983.15
25.73,54.32,983.16
25.71,54.26,983.14
25.66,54.68,983.17
25.63,54.37,983.15
25.63,54.4,983.12
25.64,54.42,983.12
25.67,54.42,983.14
25.67,54.4,983.12
25.63,54.37,983.1
25.6,54.45,983.12
25.57,54.4,983.12
25.53,54.38,983.12
25.61,54.46,983.12
25.65,54.52,983.13
25.67,54.34,983.15
25.66,54.25,983.14
25.64,54.24,983.15
25.61,54.21,983.1
25.59,54.26,983.1
25.57,54.31,983.14
25.55,54.38,983.13
25.54,54.39,983.12
25.53,54.43,983.12
25.51,54.47,983.16
25.51,54.48,983.12
25.53,54.45,983.11
25.57,54.52,983.13
25.59,54.5,983.14
25.63,54.52,983.14
25.64,54.38,983.16
25.62,54.39,983.15
25.62,54.46,983.15
25.63,54.52,983.12
25.68,54.9,983.13
25.7,54.5,983.11
25.71,54.39,983.13
25.72,54.54,983.14
25.73,54.77,983.13
25.74,54.79,983.13
25.75,54.73,983.15
25.73,54.94,983.17
25.7,55.0,983.14
25.69,54.92,983.16
25.67,55.23,983.13
25.65,55.13,983.14
25.64,55.12,983.14
25.66,55.16,983.12
25.65,55.11,983.13
25.66,55.12,983.12
25.68,55.04,983.14
25.67,54.94,983.14
25.62,55.22,983.13
25.6,55.16,983.14
25.52,55.29,983.12
25.5,55.41,983.12
25.53,55.43,983.14
25.56,55.29,983.17
25.6,55.28,983.18
25.64,55.14,983.15
25.62,55.16,983.16
25.61,55.1,983.13
25.65,54.94,983.12
25.62,54.89,983.15
25.65,54.84,983.16
25.69,54.68,983.15
25.69,54.64,983.15
25.7,54.56,983.17
25.67,54.68,983.18
25.67,54.67,983.15
25.66,54.63,983.16
25.66,54.65,983.17
25.68,54.51,983.13
25.68,54.49,983.16
25.67,54.44,983.15
25.67,54.35,983.15
25.65,54.33,983.15
25.64,54.31,983.14
25.68,54.29,983.16
25.7,54.18,983.15
25.69,54.07,983.16
25.72,54.1,983.14
25.74,54.06,983.17
25.78,54.0,983.16
25.81,53.91,983.14
25.81,53.84,983.16
25.85,53.79,983.17
25.86,53.72,983.19
25.81,53.73,983.15
25.83,53.71,983.14
25.84,53.68,983.17
25.84,53.68,983.15
25.82,53.68,983.17
25.84,53.7,983.14
25.84,53.63,983.14
25.79,53.66,983.15
25.79,53.7,983.14
25.82,53.66,983.15
